type,model_name,metric,1,foreground_mean
EVA,AE,NSD,0.7335281398053359,0.7335281398053359
EVA,AE,TN,899143.504,899143.504
EVA,AE,TP,2044.856,2044.856
EVA,AE,n_pred,2327.936,2327.936
EVA,AE,n_ref,2499.224,2499.224
EVA,AlignedConConMAE,Dice,0.7806852943916703,0.7806852943916703
EVA,AlignedConConMAE,FN,437.776,437.776
EVA,AlignedConConMAE,FP,269.376,269.376
EVA,AlignedConConMAE,IoU,0.6669190276297694,0.6669190276297694
EVA,AlignedConConMAE,NSD,0.757685028689633,0.757685028689633
EVA,AlignedConConMAE,TN,899157.208,899157.208
EVA,AlignedConConMAE,TP,2061.448,2061.448
EVA,AlignedConConMAE,n_pred,2330.824,2330.824
EVA,AlignedConConMAE,n_ref,2499.224,2499.224
EVA,AlignedConMAEFT,Dice,0.7740125769417137,0.7740125769417137
EVA,AlignedConMAEFT,FN,441.328,441.328
EVA,AlignedConMAEFT,FP,270.968,270.968
EVA,AlignedConMAEFT,IoU,0.6598526383331945,0.6598526383331945
EVA,AlignedConMAEFT,NSD,0.7501052145313297,0.7501052145313297
EVA,AlignedConMAEFT,TN,899155.616,899155.616
EVA,AlignedConMAEFT,TP,2057.896,2057.896
EVA,AlignedConMAEFT,n_pred,2328.864,2328.864
EVA,AlignedConMAEFT,n_ref,2499.224,2499.224
EVA,AlignedMAELR3,Dice,0.7732809572884416,0.7732809572884416
EVA,AlignedMAELR3,FN,433.752,433.752
EVA,AlignedMAELR3,FP,273.168,273.168
EVA,AlignedMAELR3,IoU,0.6597874325636068,0.6597874325636068
EVA,AlignedMAELR3,NSD,0.7513935431638411,0.7513935431638411
EVA,AlignedMAELR3,TN,899153.416,899153.416
EVA,AlignedMAELR3,TP,2065.472,2065.472
EVA,AlignedMAELR3,n_pred,2338.64,2338.64
EVA,AlignedMAELR3,n_ref,2499.224,2499.224
EVA,BaseMAE,Dice,0.7717626439486993,0.7717626439486993
EVA,BaseMAE,FN,639.429347826087,639.429347826087
EVA,BaseMAE,FP,284.17391304347825,284.17391304347825
EVA,BaseMAE,IoU,0.658750291907004,0.658750291907004
EVA,BaseMAE,NSD,0.7498360573032096,0.7498360573032096
EVA,BaseMAE,TN,903179.2282608695,903179.2282608695
EVA,BaseMAE,TP,2484.2391304347825,2484.2391304347825
EVA,BaseMAE,n_pred,2768.413043478261,2768.413043478261
EVA,BaseMAE,n_ref,3123.6684782608695,3123.6684782608695
EVA,ConMAE,Dice,0.7718101984871376,0.7718101984871376
EVA,ConMAE,FN,664.048,664.048
EVA,ConMAE,FP,241.896,241.896
EVA,ConMAE,IoU,0.6585927731847516,0.6585927731847516
EVA,ConMAE,NSD,0.7536356347548017,0.7536356347548017
EVA,ConMAE,TN,921339.616,921339.616
EVA,ConMAE,TP,2499.344,2499.344
EVA,ConMAE,n_pred,2741.24,2741.24
EVA,ConMAE,n_ref,3163.392,3163.392
EVA,ConsisMAE,Dice,0.777280376799453,0.777280376799453
EVA,ConsisMAE,FN,670.336,670.336
EVA,ConsisMAE,FP,242.992,242.992
EVA,ConsisMAE,IoU,0.6655514160611244,0.6655514160611244
EVA,ConsisMAE,NSD,0.7572905963374726,0.7572905963374726
EVA,ConsisMAE,TN,921338.52,921338.52
EVA,ConsisMAE,TP,2493.056,2493.056
EVA,ConsisMAE,n_pred,2736.048,2736.048
EVA,ConsisMAE,n_ref,3163.392,3163.392
EVA,LPMAE,Dice,0.7698990082649086,0.7698990082649086
EVA,LPMAE,FN,658.688,658.688
EVA,LPMAE,FP,239.144,239.144
EVA,LPMAE,IoU,0.6553386375001108,0.6553386375001108
EVA,LPMAE,NSD,0.7488220829635706,0.7488220829635706
EVA,LPMAE,TN,921342.368,921342.368
EVA,LPMAE,TP,2504.704,2504.704
EVA,LPMAE,n_pred,2743.848,2743.848
EVA,LPMAE,n_ref,3163.392,3163.392
EVA,MAE,Dice,0.7831744719741187,0.7831744719741187
EVA,MAE,FN,681.432,681.432
EVA,MAE,FP,240.608,240.608
EVA,MAE,IoU,0.669220307488553,0.669220307488553
EVA,MAE,NSD,0.7665900748953247,0.7665900748953247
EVA,MAE,TN,921340.904,921340.904
EVA,MAE,TP,2481.96,2481.96
EVA,MAE,n_pred,2722.568,2722.568
EVA,MAE,n_ref,3163.392,3163.392
EVA,SimSiamNoCon,Dice,0.7722831491056024,0.7722831491056024
EVA,SimSiamNoCon,FN,687.344,687.344
EVA,SimSiamNoCon,FP,236.944,236.944
EVA,SimSiamNoCon,IoU,0.6596062248070218,0.6596062248070218
EVA,SimSiamNoCon,NSD,0.7528689427294,0.7528689427294
EVA,SimSiamNoCon,TN,921344.568,921344.568
EVA,SimSiamNoCon,TP,2476.048,2476.048
EVA,SimSiamNoCon,n_pred,2712.992,2712.992
EVA,SimSiamNoCon,n_ref,3163.392,3163.392
EVA,VarAligned2MAEFT,Dice,0.7797469430020018,0.7797469430020018
EVA,VarAligned2MAEFT,FN,424.304,424.304
EVA,VarAligned2MAEFT,FP,289.632,289.632
EVA,VarAligned2MAEFT,IoU,0.6647316354580922,0.6647316354580922
EVA,VarAligned2MAEFT,NSD,0.7554415515157096,0.7554415515157096
EVA,VarAligned2MAEFT,TN,899136.952,899136.952
EVA,VarAligned2MAEFT,TP,2074.92,2074.92
EVA,VarAligned2MAEFT,n_pred,2364.552,2364.552
EVA,VarAligned2MAEFT,n_ref,2499.224,2499.224
EVA,VarAlignedMAEFT,Dice,0.7778169031451223,0.7778169031451223
EVA,VarAlignedMAEFT,FN,439.496,439.496
EVA,VarAlignedMAEFT,FP,272.368,272.368
EVA,VarAlignedMAEFT,IoU,0.6630378634682405,0.6630378634682405
EVA,VarAlignedMAEFT,NSD,0.7538717688711105,0.7538717688711105
EVA,VarAlignedMAEFT,TN,899154.216,899154.216
EVA,VarAlignedMAEFT,TP,2059.728,2059.728
EVA,VarAlignedMAEFT,n_pred,2332.096,2332.096
EVA,VarAlignedMAEFT,n_ref,2499.224,2499.224
